ageGroup,ageGroupIdFk,athleteCountryCode,athleteIdFk,bestRecord,bibNumber,combinedEventScoreCalculated,firstName,gender,groupNo,imgVariants,initialPb,initialPbImperial,initialSb,initialSbImperial,laneRow,laneStacked,lastName,position,price,promotion,relayTeamNational,s3ImgUuid,seImplementIdFk,seedingPromotion,startStatus,eventIdFk,event,nameAndEvent
Senior,23,GBR,21143,None,,,Max,Male,0,1,1035200,1035200,1035200,1035200,1,,Burgin,21,$6680000,N,,21143_1621500725573,25,N,Ok,20,800m,Max Burgin (800m)
Senior,23,CAN,10711,None,,,Sarah,Female,0,,2033,80025,2033,80025,1,,Mitton,3,$6670000,N,,,190,N,Ok,50,Shot Put,Sarah Mitton (Shot Put)
Senior,23,USA,52682,None,,,Alaysha,Female,0,1,123500,123500,123500,123500,1,,Johnson,41,$6660000,N,,52682_1651778515059,156,N,Ok,4,100m Hurdles,Alaysha Johnson (100m Hurdles)
Senior,23,USA,5541,None,,,Brooke,Female,0,,7902,311100,7902,311100,1,,Andersen,28,$6620000,N,,,201,N,Ok,51,Hammer Throw,Brooke Andersen (Hammer Throw)
Senior,23,USA,3891,None,,,Christian,Male,0,1,97600,97600,98700,98700,1,,Coleman,74,$6610000,N,,3891_1561887629309,1,N,Ok,1,100m,Christian Coleman (100m)
Senior,23,USA,9690,None,,,Grant,Male,0,,7737300,7737300,7737300,7737300,1,,Fisher,45,$6610000,N,,,27,N,Ok,22,5000m,Grant Fisher (5000m)
Senior,23,POL,1978,None,,,Wojciech,Male,0,1,8252,324875,8158,321175,1,,Nowicki,25,$6610000,N,,1978_1565515245295,54,N,Ok,51,Hammer Throw,Wojciech Nowicki (Hammer Throw)
Senior,23,NED,378,None,,,Sifan,Female,0,1,8621200,8621200,,,1,,Hassan,29,$6570000,N,,378_1624521573306,175,N,Ok,22,5000m,Sifan Hassan (5000m)
Senior,23,ETH,1941,None,,,Tamirat,Male,0,,74190000,74190000,74540000,74540000,1,,Tola,27,$6540000,N,,,30,N,Ok,25,Marathon,Tamirat Tola (Marathon)
Senior,23,ETH,634,None,,,Gudaf,Female,0,1,8533200,8533200,8666900,8666900,1,,Tsegay,11,$6510000,N,,634_1581714352087,175,N,Ok,22,5000m,Gudaf Tsegay (5000m)
Senior,23,ESP,187,None,,,Miguel,Male,0,,88730000,88730000,88730000,88730000,1,,López,17,$6500000,N,,,1314,N,Ok,2234,35K Racewalk,Miguel López (35K Racewalk)
Senior,23,USA,49544,None,,,Marvin,Male,0,,98500,98500,98500,98500,1,,Bracy,72,$6480000,N,,,1,N,Ok,1,100m,Marvin Bracy (100m)
